uptime_ms,rpm,speed_kmh,map_kpa,iat_c,coolant_c,ve_pct,maf_gs,fuel_gs,instant_Lh,instant_L100km,trip_km,trip_fuel_L,trip_avg_L100km,can_status,trip_cost_bs
11009,0,0.0,62.0,37.0,59.0,60.0,0.00,0.000,0.00,0.00,0.000,0.0000,0.00,1,0.00
12009,1415,0.0,26.0,37.0,59.0,72.5,4.00,0.282,1.36,0.00,0.000,0.0004,0.00,1,0.00
13009,1320,0.0,24.0,37.0,59.0,70.8,3.36,0.238,1.15,0.00,0.000,0.0008,0.00,1,0.01
14009,1258,0.0,21.0,37.0,59.0,69.8,2.76,0.195,0.94,0.00,0.000,0.0010,0.00,1,0.01
15009,1185,0.0,20.0,37.0,59.0,68.5,2.43,0.172,0.83,0.00,0.000,0.0013,0.00,1,0.01
16009,1137,0.0,20.0,37.0,59.0,67.6,2.30,0.163,0.79,0.00,0.000,0.0015,0.00,1,0.01
17009,1099,0.0,20.0,37.0,58.0,67.0,2.21,0.156,0.75,0.00,0.000,0.0017,0.00,1,0.01
18009,1053,0.0,20.0,37.0,58.0,66.2,2.09,0.148,0.71,0.00,0.000,0.0020,0.00,1,0.01
19009,1039,0.0,19.0,37.0,58.0,65.9,1.95,0.138,0.67,0.00,0.000,0.0021,0.00,1,0.01
20009,1019,0.0,19.0,37.0,58.0,65.6,1.90,0.134,0.65,0.00,0.000,0.0023,0.00,1,0.02
21009,999,0.0,19.0,38.0,57.0,65.2,1.85,0.131,0.63,0.00,0.000,0.0025,0.00,1,0.02
22009,985,0.0,19.0,38.0,57.0,65.0,1.82,0.128,0.62,0.00,0.000,0.0027,0.00,1,0.02
23009,973,0.0,19.0,38.0,57.0,64.8,1.79,0.126,0.61,0.00,0.000,0.0028,0.00,1,0.02
24009,959,0.0,19.0,38.0,57.0,64.5,1.76,0.124,0.60,0.00,0.000,0.0030,0.00,1,0.02
25009,953,0.0,19.0,38.0,57.0,64.4,1.74,0.123,0.59,0.00,0.000,0.0032,0.00,1,0.02
26009,946,0.0,18.0,38.0,57.0,64.3,1.63,0.116,0.56,0.00,0.000,0.0033,0.00,1,0.02
27008,943,0.0,18.0,38.0,57.0,64.3,1.63,0.115,0.56,0.00,0.000,0.0035,0.00,1,0.02
28009,942,0.0,18.0,38.0,57.0,64.2,1.63,0.115,0.56,0.00,0.000,0.0036,0.00,1,0.03
29009,938,0.0,18.0,38.0,57.0,64.2,1.62,0.114,0.55,0.00,0.000,0.0038,0.00,1,0.03
30009,940,0.0,18.0,38.0,57.0,64.2,1.62,0.115,0.55,0.00,0.000,0.0040,0.00,1,0.03
31009,936,0.0,18.0,38.0,58.0,64.1,1.61,0.114,0.55,0.00,0.000,0.0041,0.00,1,0.03
32009,935,0.0,18.0,38.0,58.0,64.1,1.61,0.114,0.55,0.00,0.000,0.0043,0.00,1,0.03
33009,933,0.0,18.0,38.0,58.0,64.1,1.61,0.114,0.55,0.00,0.000,0.0044,0.00,1,0.03
34009,928,0.0,18.0,38.0,58.0,64.0,1.60,0.113,0.55,0.00,0.000,0.0046,0.00,1,0.03
35009,939,0.0,18.0,38.0,58.0,64.2,1.62,0.114,0.55,0.00,0.000,0.0047,0.00,1,0.03
36008,928,0.0,18.0,38.0,58.0,64.0,1.60,0.113,0.55,0.00,0.000,0.0049,0.00,1,0.03
37009,928,0.0,18.0,38.0,58.0,64.0,1.60,0.113,0.55,0.00,0.000,0.0050,0.00,1,0.03
38009,930,0.0,18.0,38.0,58.0,64.0,1.60,0.113,0.55,0.00,0.000,0.0052,0.00,1,0.04
39008,937,0.0,18.0,38.0,58.0,64.1,1.62,0.114,0.55,0.00,0.000,0.0053,0.00,1,0.04
40009,929,0.0,18.0,39.0,58.0,64.0,1.59,0.113,0.54,0.00,0.000,0.0055,0.00,1,0.04
41009,929,0.0,19.0,39.0,59.0,64.0,1.68,0.119,0.57,0.00,0.000,0.0056,0.00,1,0.04
42009,930,0.0,19.0,39.0,59.0,64.0,1.68,0.119,0.58,0.00,0.000,0.0058,0.00,1,0.04
43009,933,0.0,19.0,39.0,59.0,64.1,1.69,0.120,0.58,0.00,0.000,0.0059,0.00,1,0.04
44009,926,0.0,19.0,39.0,59.0,64.0,1.67,0.118,0.57,0.00,0.000,0.0061,0.00,1,0.04
45009,936,0.0,19.0,39.0,59.0,64.1,1.70,0.120,0.58,0.00,0.000,0.0063,0.00,1,0.04
46009,937,0.0,19.0,39.0,59.0,64.1,1.70,0.120,0.58,0.00,0.000,0.0064,0.00,1,0.04
47009,935,0.0,19.0,39.0,59.0,64.1,1.70,0.120,0.58,0.00,0.000,0.0066,0.00,1,0.05
48009,941,0.0,19.0,39.0,59.0,64.2,1.71,0.121,0.58,0.00,0.000,0.0068,0.00,1,0.05
49009,936,0.0,19.0,39.0,59.0,64.1,1.70,0.120,0.58,0.00,0.000,0.0069,0.00,1,0.05
50009,940,0.0,19.0,39.0,59.0,64.2,1.71,0.121,0.58,0.00,0.000,0.0071,0.00,1,0.05
51009,934,0.0,19.0,39.0,59.0,64.1,1.69,0.120,0.58,0.00,0.000,0.0072,0.00,1,0.05
52009,941,0.0,19.0,39.0,59.0,64.2,1.71,0.121,0.58,0.00,0.000,0.0074,0.00,1,0.05
53009,936,0.0,19.0,39.0,60.0,64.1,1.70,0.120,0.58,0.00,0.000,0.0076,0.00,1,0.05
54009,938,0.0,19.0,39.0,60.0,64.2,1.70,0.120,0.58,0.00,0.000,0.0077,0.00,1,0.05
55009,933,0.0,19.0,39.0,60.0,64.1,1.69,0.120,0.58,0.00,0.000,0.0079,0.00,1,0.05
