uptime_ms,rpm,speed_kmh,map_kpa,iat_c,coolant_c,ve_pct,maf_gs,fuel_gs,instant_Lh,instant_L100km,trip_km,trip_fuel_L,trip_avg_L100km,can_status,trip_cost_bs,baro_kpa,baro_is_estimated
2491,0,0.0,63.0,8.0,7.0,60.0,0.00,0.000,0.00,0.00,0.000,0.0000,0.00,1,0.00,63.0,0
3491,0,0.0,63.0,8.0,7.0,60.0,0.00,0.000,0.00,0.00,0.000,0.0000,0.00,1,0.00,63.0,0
4491,0,0.0,61.0,8.0,7.0,60.0,0.00,0.000,0.00,0.00,0.000,0.0000,0.00,1,0.00,63.0,0
5491,1409,0.0,44.0,8.0,7.0,72.4,6.02,0.416,2.01,0.00,0.000,0.0003,0.00,1,0.00,63.0,0
6491,1301,0.0,33.0,8.0,7.0,70.5,4.06,0.280,1.36,0.00,0.000,0.0008,0.00,1,0.01,63.0,0
7491,1243,0.0,30.0,8.0,7.0,69.5,3.47,0.240,1.16,0.00,0.000,0.0011,0.00,1,0.01,63.0,0
8491,1238,0.0,29.0,8.0,7.0,69.4,3.34,0.231,1.12,0.00,0.000,0.0015,0.00,1,0.01,63.0,0
9491,1225,0.0,29.0,8.0,7.0,69.2,3.30,0.228,1.10,0.00,0.000,0.0017,0.00,1,0.01,63.0,0
10491,1232,0.0,28.0,8.0,7.0,69.3,3.21,0.221,1.07,0.00,0.000,0.0020,0.00,1,0.01,63.0,0
11491,1236,0.0,27.0,8.0,7.0,69.4,3.10,0.214,1.04,0.00,0.000,0.0023,0.00,1,0.02,63.0,0
12491,1239,0.0,27.0,8.0,7.0,69.4,3.11,0.215,1.04,0.00,0.000,0.0026,0.00,1,0.02,63.0,0
13491,1246,0.0,27.0,8.0,7.0,69.6,3.14,0.217,1.05,0.00,0.000,0.0029,0.00,1,0.02,63.0,0
14491,1231,0.0,26.0,8.0,7.0,69.3,2.97,0.205,0.99,0.00,0.000,0.0032,0.00,1,0.02,63.0,0
15491,1239,0.0,27.0,8.0,7.0,69.4,3.11,0.215,1.04,0.00,0.000,0.0035,0.00,1,0.02,63.0,0
16491,1247,0.0,26.0,8.0,7.0,69.6,3.02,0.209,1.01,0.00,0.000,0.0038,0.00,1,0.03,63.0,0
17491,1242,0.0,26.0,8.0,7.0,69.5,3.01,0.208,1.00,0.00,0.000,0.0040,0.00,1,0.03,63.0,0
18491,1249,0.0,26.0,8.0,7.0,69.6,3.03,0.209,1.01,0.00,0.000,0.0043,0.00,1,0.03,63.0,0
19491,1251,0.0,26.0,8.0,8.0,69.6,3.04,0.210,1.01,0.00,0.000,0.0046,0.00,1,0.03,63.0,0
20491,1250,0.0,26.0,8.0,8.0,69.6,3.03,0.210,1.01,0.00,0.000,0.0049,0.00,1,0.03,63.0,0
21491,1245,0.0,26.0,8.0,8.0,69.5,3.02,0.208,1.01,0.00,0.000,0.0052,0.00,1,0.04,63.0,0
22491,1246,0.0,26.0,8.0,8.0,69.6,3.02,0.209,1.01,0.00,0.000,0.0055,0.00,1,0.04,63.0,0
23491,1239,0.0,25.0,8.0,8.0,69.4,2.88,0.199,0.96,0.00,0.000,0.0057,0.00,1,0.04,63.0,0
24491,1245,0.0,26.0,8.0,8.0,69.5,3.02,0.208,1.01,0.00,0.000,0.0060,0.00,1,0.04,63.0,0
25491,1238,0.0,26.0,8.0,8.0,69.4,3.00,0.207,1.00,0.00,0.000,0.0063,0.00,1,0.04,63.0,0
26491,1247,0.0,25.0,8.0,8.0,69.6,2.91,0.201,0.97,0.00,0.000,0.0066,0.00,1,0.05,63.0,0
27491,1238,0.0,25.0,9.0,8.0,69.4,2.87,0.198,0.96,0.00,0.000,0.0068,0.00,1,0.05,63.0,0
28491,1245,0.0,25.0,9.0,9.0,69.5,2.89,0.200,0.97,0.00,0.000,0.0071,0.00,1,0.05,63.0,0
29491,1238,0.0,25.0,9.0,9.0,69.4,2.87,0.198,0.96,0.00,0.000,0.0073,0.00,1,0.05,63.0,0
30491,1240,0.0,25.0,9.0,9.0,69.4,2.88,0.199,0.96,0.00,0.000,0.0076,0.00,1,0.05,63.0,0
31491,1235,0.0,25.0,9.0,9.0,69.4,2.86,0.198,0.96,0.00,0.000,0.0079,0.00,1,0.06,63.0,0
32491,1218,0.0,25.0,9.0,9.0,69.1,2.81,0.194,0.94,0.00,0.000,0.0081,0.00,1,0.06,63.0,0
33491,1227,0.0,25.0,9.0,9.0,69.2,2.84,0.196,0.95,0.00,0.000,0.0084,0.00,1,0.06,63.0,0
34491,1238,0.0,25.0,9.0,9.0,69.4,2.87,0.198,0.96,0.00,0.000,0.0087,0.00,1,0.06,63.0,0
35491,1240,0.0,25.0,9.0,10.0,69.4,2.88,0.199,0.96,0.00,0.000,0.0090,0.00,1,0.06,63.0,0
36491,1239,0.0,25.0,9.0,10.0,69.4,2.87,0.198,0.96,0.00,0.000,0.0092,0.00,1,0.06,63.0,0
37491,1234,0.0,24.0,9.0,10.0,69.3,2.74,0.190,0.92,0.00,0.000,0.0095,0.00,1,0.07,63.0,0
38491,1231,0.0,25.0,9.0,10.0,69.3,2.85,0.197,0.95,0.00,0.000,0.0097,0.00,1,0.07,63.0,0
39491,1236,0.0,24.0,9.0,10.0,69.4,2.75,0.190,0.92,0.00,0.000,0.0100,0.00,1,0.07,63.0,0
40491,1239,0.0,24.0,9.0,10.0,69.4,2.76,0.191,0.92,0.00,0.000,0.0102,0.00,1,0.07,63.0,0
41491,1229,0.0,24.0,9.0,11.0,69.3,2.73,0.189,0.91,0.00,0.000,0.0105,0.00,1,0.07,63.0,0
42491,1226,0.0,24.0,9.0,11.0,69.2,2.72,0.188,0.91,0.00,0.000,0.0108,0.00,1,0.07,63.0,0
43491,1226,0.0,24.0,9.0,11.0,69.2,2.72,0.188,0.91,0.00,0.000,0.0110,0.00,1,0.08,63.0,0
44491,1226,0.0,24.0,9.0,11.0,69.2,2.72,0.188,0.91,0.00,0.000,0.0113,0.00,1,0.08,63.0,0
45491,1223,0.0,24.0,9.0,11.0,69.2,2.71,0.187,0.91,0.00,0.000,0.0115,0.00,1,0.08,63.0,0
46491,1217,0.0,24.0,9.0,12.0,69.0,2.69,0.186,0.90,0.00,0.000,0.0118,0.00,1,0.08,63.0,0
47491,1217,0.0,24.0,9.0,12.0,69.0,2.69,0.186,0.90,0.00,0.000,0.0120,0.00,1,0.08,63.0,0
48491,1210,0.0,24.0,9.0,12.0,68.9,2.67,0.185,0.89,0.00,0.000,0.0123,0.00,1,0.09,63.0,0
49491,1220,0.0,24.0,9.0,12.0,69.1,2.70,0.187,0.90,0.00,0.000,0.0125,0.00,1,0.09,63.0,0
50491,1219,0.0,24.0,9.0,12.0,69.1,2.70,0.187,0.90,0.00,0.000,0.0128,0.00,1,0.09,63.0,0
51491,1213,0.0,24.0,9.0,13.0,69.0,2.68,0.185,0.90,0.00,0.000,0.0130,0.00,1,0.09,63.0,0
52491,1212,0.0,24.0,9.0,13.0,69.0,2.68,0.185,0.89,0.00,0.000,0.0131,0.00,1,0.09,63.0,0
