hora,rpm,map_kpa,iat_c,speed_kmh,maf_estimado_gs,maf_referencia_gs,fuel_gs,instant_Lh,instant_L100km,trip_km,trip_fuel_L
08:07:48,1392,35.0,14.0,25.0,6.433,6.400,0.438,2.11,8.5,0.002,0.0002
08:07:49,1421,33.0,13.0,25.0,6.199,6.240,0.422,2.04,8.2,0.011,0.0009
08:07:51,1440,32.0,13.0,26.0,6.082,5.930,0.414,2.00,7.7,0.021,0.0017
08:07:52,1445,29.0,13.0,26.0,5.532,4.670,0.376,1.82,7.0,0.031,0.0023
08:07:55,1389,23.0,13.0,25.0,4.232,4.570,0.288,1.39,5.6,0.040,0.0029
08:07:56,1434,23.0,13.0,25.0,4.355,4.380,0.296,1.43,5.7,0.049,0.0034
08:07:57,1431,24.0,13.0,25.0,4.537,4.330,0.309,1.49,6.0,0.058,0.0039
08:07:59,1406,22.0,13.0,25.0,4.094,3.820,0.279,1.35,5.4,0.067,0.0044
08:08:00,1376,17.0,13.0,24.0,3.102,2.450,0.211,1.02,4.2,0.077,0.0048
08:08:01,1307,20.0,13.0,23.0,3.482,2.600,0.237,1.14,5.0,0.085,0.0052
08:08:03,1243,17.0,13.0,22.0,2.827,2.420,0.192,0.93,4.2,0.093,0.0056
08:08:04,1164,18.0,13.0,21.0,2.818,2.390,0.192,0.93,4.4,0.101,0.0059
08:08:05,1144,17.0,13.0,20.0,2.620,2.390,0.178,0.86,4.3,0.108,0.0062
08:08:07,998,19.0,13.0,16.0,2.578,2.680,0.175,0.85,5.3,0.114,0.0065
08:08:08,714,25.0,13.0,10.0,2.435,2.420,0.166,0.80,8.0,0.118,0.0068
08:08:09,910,22.0,13.0,6.0,2.733,2.390,0.186,0.90,15.0,0.120,0.0072
08:08:11,922,22.0,14.0,5.0,2.758,2.370,0.188,0.91,18.1,0.122,0.0075
08:08:12,957,44.0,13.0,4.0,5.740,5.110,0.390,1.89,47.2,0.123,0.0082
08:08:13,600,57.0,13.0,7.0,4.671,6.620,0.318,1.54,21.9,0.126,0.0088
08:08:15,972,57.0,13.0,10.0,7.543,9.760,0.513,2.48,24.8,0.130,0.0097
08:08:16,1385,55.0,14.0,15.0,10.058,11.690,0.684,3.31,22.0,0.135,0.0109
08:08:17,1746,52.0,14.0,19.0,11.898,13.100,0.809,3.91,20.6,0.142,0.0123
08:08:19,2068,49.0,14.0,21.0,13.281,2.630,0.903,4.37,20.8,0.150,0.0139
08:08:20,1738,15.0,14.0,20.0,3.417,7.900,0.232,1.12,5.6,0.157,0.0143
08:08:21,1146,53.0,14.0,21.0,8.146,9.070,0.554,2.68,12.8,0.165,0.0153
08:08:22,1261,53.0,14.0,23.0,8.897,8.730,0.605,2.92,12.7,0.173,0.0164
08:08:24,1333,40.0,14.0,24.0,7.066,6.780,0.481,2.32,9.7,0.182,0.0173
08:08:25,1343,37.0,14.0,24.0,6.579,6.730,0.448,2.16,9.0,0.191,0.0181
08:08:26,1331,35.0,14.0,24.0,6.174,6.670,0.420,2.03,8.5,0.200,0.0188
08:08:28,1331,36.0,14.0,24.0,6.351,5.980,0.432,2.09,8.7,0.209,0.0196
08:08:29,1310,33.0,14.0,23.0,5.736,4.910,0.390,1.89,8.2,0.217,0.0203
08:08:30,1268,24.0,14.0,22.0,4.052,2.390,0.276,1.33,6.1,0.225,0.0208
08:08:32,1181,18.0,14.0,20.0,2.845,2.420,0.194,0.94,4.7,0.232,0.0211
08:08:33,1082,18.0,14.0,18.0,2.624,2.450,0.179,0.86,4.8,0.239,0.0214
08:08:34,1015,19.0,14.0,18.0,2.609,3.980,0.177,0.86,4.8,0.246,0.0217
08:08:36,978,31.0,14.0,18.0,4.114,4.720,0.280,1.35,7.5,0.252,0.0222
08:08:37,1030,34.0,14.0,19.0,4.735,4.810,0.322,1.56,8.2,0.260,0.0228
08:08:38,1082,32.0,14.0,19.0,4.665,4.070,0.317,1.53,8.1,0.267,0.0234
08:08:40,1110,22.0,14.0,20.0,3.285,2.390,0.223,1.08,5.4,0.274,0.0238
08:08:41,1081,18.0,14.0,19.0,2.622,2.420,0.178,0.86,4.5,0.281,0.0241
08:08:42,1043,18.0,14.0,18.0,2.536,2.340,0.173,0.83,4.6,0.288,0.0244
08:08:44,982,19.0,14.0,17.0,2.531,2.390,0.172,0.83,4.9,0.294,0.0247
08:08:45,953,20.0,14.0,16.0,2.590,2.540,0.176,0.85,5.3,0.300,0.0251
08:08:46,790,24.0,14.0,12.0,2.578,2.370,0.175,0.85,7.1,0.305,0.0254
08:08:48,907,21.0,14.0,10.0,2.591,2.390,0.176,0.85,8.5,0.308,0.0257
08:08:49,904,22.0,14.0,7.0,2.705,2.370,0.184,0.89,12.7,0.311,0.0260
08:08:50,741,33.0,14.0,8.0,3.326,5.980,0.226,1.09,13.7,0.314,0.0264
08:08:52,814,53.0,14.0,9.0,5.863,7.240,0.399,1.93,21.4,0.317,0.0271
08:08:53,1128,53.0,14.0,12.0,8.030,9.480,0.546,2.64,22.0,0.322,0.0281
08:08:54,1462,48.0,14.0,15.0,9.220,8.800,0.627,3.03,20.2,0.327,0.0292
08:08:56,1668,25.0,14.0,17.0,5.465,8.870,0.372,1.80,10.6,0.333,0.0299
08:08:58,1634,18.0,14.0,16.0,3.854,3.580,0.262,1.27,7.9,0.339,0.0303
08:09:00,1551,15.0,14.0,14.0,3.048,2.420,0.207,1.00,7.2,0.344,0.0307
08:09:01,1259,16.0,14.0,12.0,2.682,2.390,0.182,0.88,7.3,0.349,0.0310
08:09:02,1095,23.0,14.0,10.0,3.390,4.110,0.231,1.11,11.1,0.352,0.0314
08:09:04,963,39.0,14.0,10.0,5.099,7.010,0.347,1.68,16.8,0.356,0.0321
