hora,rpm,map_kpa,iat_c,maf_estimado_gs,maf_referencia_gs,rpm_objetivo
20:50:21,943,21.0,18.0,2.031,2.630,940
20:50:22,938,21.0,18.0,2.018,2.600,940
20:50:24,928,21.0,18.0,1.989,2.600,940
20:50:25,934,21.0,18.0,2.005,2.600,940
20:50:26,942,21.0,18.0,2.026,2.680,940
20:50:27,942,21.0,18.0,2.026,2.650,940
20:50:28,932,22.0,18.0,2.097,2.570,940
20:50:29,936,21.0,18.0,2.010,2.630,940
20:50:30,942,22.0,18.0,2.126,2.630,940
20:50:32,946,21.0,18.0,2.039,2.600,940
20:50:33,934,22.0,18.0,2.103,2.600,940
20:50:34,928,21.0,18.0,1.989,2.630,940
20:50:35,932,21.0,18.0,2.000,2.630,940
20:50:36,936,21.0,18.0,2.013,2.630,940
20:50:37,938,21.0,18.0,2.016,2.570,940
20:50:38,934,22.0,18.0,2.100,2.650,940
20:50:39,936,22.0,18.0,2.106,2.630,940
20:50:41,932,21.0,18.0,2.002,2.570,940
20:50:42,932,21.0,18.0,2.000,2.600,940
20:50:43,938,22.0,18.0,2.114,2.630,940
20:50:44,938,21.0,18.0,2.016,2.630,940
20:50:45,938,22.0,18.0,2.114,3.940,940
20:50:46,1211,23.0,18.0,3.064,3.270,
20:50:47,1358,19.0,18.0,2.943,3.270,
20:50:48,1308,19.0,18.0,2.800,3.430,
20:50:50,1308,21.0,18.0,3.095,3.540,
20:50:51,1345,20.0,18.0,3.059,3.580,
20:50:52,1333,21.0,18.0,3.175,3.820,
20:50:53,1392,21.0,18.0,3.362,3.820,
20:50:54,1412,21.0,17.0,3.440,3.900,1500
20:50:55,1424,21.0,17.0,3.479,3.860,1500
20:50:56,1434,21.0,17.0,3.511,3.860,1500
20:50:57,1436,21.0,17.0,3.521,3.860,1500
20:50:59,1445,21.0,17.0,3.550,3.900,1500
20:51:00,1443,21.0,17.0,3.543,3.940,1500
20:51:01,1440,21.0,17.0,3.531,3.860,1500
20:51:02,1442,21.0,17.0,3.541,3.940,1500
20:51:03,1446,21.0,17.0,3.553,3.780,1500
20:51:04,1419,20.0,17.0,3.298,3.540,1500
20:51:06,1354,20.0,17.0,3.099,3.620,
20:51:07,1349,20.0,17.0,3.082,3.820,
20:51:08,1382,21.0,17.0,3.342,3.860,
20:51:09,1421,21.0,17.0,3.470,3.820,1500
20:51:10,1422,21.0,18.0,3.461,3.900,1500
20:51:11,1440,20.0,18.0,3.354,3.860,1500
20:51:12,1444,20.0,18.0,3.366,3.780,1500
20:51:13,1424,21.0,18.0,3.467,3.820,1500
20:51:15,1429,21.0,18.0,3.483,3.780,1500
20:51:16,1434,21.0,18.0,3.502,3.820,1500
20:51:17,1440,20.0,18.0,3.351,3.860,1500
20:51:18,1436,21.0,18.0,3.505,3.940,1500
20:51:19,1444,21.0,18.0,3.534,3.820,1500
20:51:20,1442,21.0,18.0,3.525,3.900,1500
20:51:21,1448,21.0,18.0,3.547,4.150,1500
20:51:22,1511,21.0,18.0,3.752,4.030,1500
20:51:24,1542,21.0,18.0,3.848,4.150,1500
20:51:25,1550,21.0,18.0,3.871,4.520,1500
20:51:26,1629,22.0,18.0,4.313,4.810,
20:51:27,1718,21.0,18.0,4.398,4.720,
20:51:28,1747,21.0,18.0,4.491,4.810,
20:51:29,1774,21.0,18.0,4.577,5.060,
20:51:30,1826,21.0,18.0,4.748,5.110,
20:51:32,1861,22.0,18.0,5.095,5.620,
20:51:33,1954,22.0,18.0,5.419,5.880,
20:51:34,2060,22.0,18.0,5.799,6.090,
20:51:35,2146,22.0,18.0,6.109,6.090,
20:51:36,2186,22.0,18.0,6.256,6.400,
20:51:37,2254,22.0,18.0,6.512,6.350,
20:51:38,2301,22.0,18.0,6.688,6.620,
20:51:39,2352,22.0,18.0,6.886,6.670,
20:51:41,2381,22.0,18.0,6.995,6.620,
20:51:42,2391,22.0,18.0,7.033,6.780,
20:51:43,2411,22.0,18.0,7.113,6.840,2500
20:51:44,2445,22.0,18.0,7.245,6.900,2500
20:51:45,2463,22.0,18.0,7.314,6.900,2500
20:51:46,2467,22.0,18.0,7.329,6.730,2500
20:51:47,2476,22.0,18.0,7.364,6.840,2500
20:51:48,2476,21.0,18.0,7.029,6.900,2500
20:51:50,2482,21.0,18.0,7.055,6.780,2500
20:51:51,2489,21.0,18.0,7.080,6.900,2500
20:51:52,2489,22.0,18.0,7.418,6.900,2500
20:51:53,2491,21.0,18.0,7.088,6.780,2500
20:51:54,2496,21.0,18.0,7.106,6.840,2500
20:51:55,2494,21.0,18.0,7.099,6.730,2500
20:51:56,2497,21.0,18.0,7.110,6.840,2500
20:51:57,2499,22.0,18.0,7.456,6.730,2500
20:51:58,2500,21.0,19.0,7.097,6.780,2500
20:52:00,2501,21.0,19.0,7.100,6.780,2500
20:52:01,2505,21.0,19.0,7.112,6.840,2500
